VehicleID,Date,Time,Camera,Speed,Type
393,06/27/2022,07:16,cam2,0,Car
346,06/27/2022,07:16,cam2,0,Car
374,06/27/2022,07:16,cam2,0,Car
392,06/27/2022,07:16,cam2,0,Car
382,06/27/2022,07:16,cam2,0,Car
398,06/27/2022,07:16,cam2,0,Car
332,06/27/2022,07:15,cam2,0,Car
336,06/27/2022,07:16,cam2,0,Car
352,06/27/2022,07:16,cam2,0,Car
364,06/27/2022,07:16,cam2,0,Car
370,06/27/2022,07:16,cam2,0,Car
381,06/27/2022,07:16,cam2,0,Car
383,06/27/2022,07:16,cam2,0,Car
404,06/27/2022,07:16,cam2,0,Car
405,06/27/2022,07:16,cam2,0,Car
409,06/27/2022,07:16,cam2,0,Motorcycle
